"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"33LXKW7T","thesis","2008","April, Simon Michaud","Influence du grenaillage sur la vie en fatigue d'un alliage d'aluminium.","","","","","","","2008","2019-04-26 15:28:45","2019-04-26 15:28:45","","","","","","","","","","","","","Library and Archives Canada = Bibliothèque et Archives Canada","Ottawa","en","","","","","Open WorldCat","","OCLC: 300581005","","C:\Users\mapaqr\Zotero\storage\56QXZAAC\April - 2008 - Influence du grenaillage sur la vie en fatigue d'u.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KSCAASFB","journalArticle","2016","Gopinath, Abhay; Lim, Andre; Nagarajan, Balasubramanian; Wong, Chow Cher; Maiti, Rajarshi; Castagne, Sylvie","Introduction of Enhanced Compressive Residual Stress Profiles in Aerospace Components Using Combined Mechanical Surface Treatments","IOP Conference Series: Materials Science and Engineering","","1757-8981, 1757-899X","10.1088/1757-899X/157/1/012013","http://stacks.iop.org/1757-899X/157/i=1/a=012013?key=crossref.4a6b65fc2b80c738337745c82f284b12","Mechanical surface treatments such as Shot Peening (SP) and Deep Cold Rolling (DCR) are being used to introduce Compressive Residual Stress (CRS) at the surface and subsurface layers of aerospace components, respectively. This paper investigates the feasibility of a combined introduction of both the surface and sub-surface compressive residual stress on Ti6Al4V material through a successive application of the two aforementioned processes, one after the other. CRS profiles between individual processes were compared to that of combination of processes to validate the feasibility. It was found out that shot peening introduces surface compressive residual stress into the already deep cold rolled sample, resulting in both surface and sub-surface compressive residual stresses in the material. However the drawback of such a combination would be the increased surface roughness after shot peening a deep cold rolled sample which can be critical especially in compressor components. Hence, a new technology, Vibro-Peening (VP) may be used as an alternative to SP to introduce surface stress at reduced roughness.","2016-11","2019-04-26 15:28:47","2019-04-26 15:28:47","2019-04-26 15:28:47","012013","","","157","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\mapaqr\Zotero\storage\A699XUE2\Gopinath et al. - 2016 - Introduction of Enhanced Compressive Residual Stre.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9FSMGWLR","journalArticle","2012","Xie, Lechun; Zhang, Jiong; Xiong, Cenbo; Wu, Lihong; Jiang, Chuanhai; Lu, Weijie","Investigation on experiments and numerical modelling of the residual stress distribution in deformed surface layer of Ti–6Al–4V after shot peening","Materials & Design","","02613069","10.1016/j.matdes.2012.05.024","https://linkinghub.elsevier.com/retrieve/pii/S0261306912003251","Shot peening is well known as an effective and important surface treatment method to improve the surface properties of metallic components. In this work, both the experiments and numerical modelling of the residual stress distribution introduced by shot peening in deformed surface layer of Ti–6Al–4V have been investigated. The program of ABAQUS/Explicit has been used in 2-dimensional and 3-dimensional models for the dynamic analysis of impacting. After shot peening, the residual stresses distribution along the depth variation from top surface have been measured by X-ray method. The distribution of residual stress by simulation is according with the result of experiment, and the compressive residual stresses have formed in the surface layer and the maximum appear on the subsurface layer. The results indicate that the max compressive residual stresses range from À870 to À1000 MPa. After shot peening, the microstructure of peened surface from the section plane has been observed and the indentations on the surface are obvious. All results have been discussed in detail.","2012-10","2019-04-26 15:28:49","2019-04-26 15:28:49","2019-04-26 15:28:49","314-318","","","41","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\mapaqr\Zotero\storage\45LCETR2\Xie et al. - 2012 - Investigation on experiments and numerical modelli.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KYXH3FNZ","journalArticle","2006","Lindemann, J.; Buque, C.; Appel, F.","Effect of shot peening on fatigue performance of a lamellar titanium aluminide alloy","Acta Materialia","","13596454","10.1016/j.actamat.2005.10.043","https://linkinghub.elsevier.com/retrieve/pii/S1359645405006531","Shot peening is assessed as a potential method for improving the fatigue strength of titanium aluminide alloys based on c(TiAl). Metallographic characterization was performed with regard to surface roughness, microhardness, residual stress proﬁles, and structural changes occurring in the subsurface region. The fatigue performance that can be achieved by shot peening mainly depends on the compressive stresses left in the surface region, but is also governed by the ﬁne details of the microstructure. In view of the anticipated hightemperature application of TiAl alloys, particular emphasis is placed on the thermal stability of the surface hardening developed by shot peening.","2006-02","2019-04-26 15:28:51","2019-04-26 15:28:51","2019-04-26 15:28:51","1155-1164","","4","54","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\mapaqr\Zotero\storage\8KRW66TG\Lindemann et al. - 2006 - Effect of shot peening on fatigue performance of a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NRA5J6GA","journalArticle","1999","Wagner, L","Mechanical surface treatments on titanium, aluminum and magnesium alloys","Materials Science and Engineering: A","","09215093","10.1016/S0921-5093(98)01168-X","https://linkinghub.elsevier.com/retrieve/pii/S092150939801168X","Generally, mechanical surface treatments induce high dislocation densities in near-surface regions. Due to the local plastic deformation, residual stresses are developed and the surface topography is changed. These changes can have contradictory inﬂuences on the fatigue strength. Results on the inﬂuence of mechanical surface treatments on magnesium are presented in relation to the relatively well-studied titanium and aluminum alloys. © 1999 Elsevier Science S.A. All rights reserved.","1999-05","2019-04-26 15:28:52","2019-04-26 15:28:52","2019-04-26 15:28:52","210-216","","2","263","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\mapaqr\Zotero\storage\K23C6DEE\Wagner - 1999 - Mechanical surface treatments on titanium, aluminu.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X4ADK24F","journalArticle","2017","Lainé, Steven J.; Knowles, Kevin M.; Doorbar, Phillip J.; Cutts, Richard D.; Rugg, David","Microstructural characterisation of metallic shot peened and laser shock peened Ti–6Al–4V","Acta Materialia","","13596454","10.1016/j.actamat.2016.10.044","https://linkinghub.elsevier.com/retrieve/pii/S1359645416308114","A detailed analysis has been conducted of Tie6Ale4V processed by metallic shot peening and laser shock peening. Analysis by incremental hole drilling, electron backscattered diffraction microscopy, transmission electron microscopy and transmission Kikuchi diffraction microscopy is evaluated and discussed. The results of this analysis highlight the very different dislocation structures in surfaces processed by these two techniques. Transmission Kikuchi diffraction also has been used to evaluate sub-grains generated by laser shock peening. A notable feature of material processed by laser shock peening is the almost complete absence of deformation twinning, contrasting with the frequent observation of extensive deformation twinning observed in the material processed by metallic shot peening.","2017-01","2019-04-26 15:28:54","2019-04-26 15:28:54","2019-04-26 15:28:54","350-361","","","123","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\mapaqr\Zotero\storage\2V3HBXZ3\Lainé et al. - 2017 - Microstructural characterisation of metallic shot .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65TADSZF","journalArticle","","Pederson, Robert","Microstructure and phase transformation of Ti-6Al-4V","","","","","","","","2019-04-26 15:28:55","2019-04-26 15:28:55","","62","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\mapaqr\Zotero\storage\7ZRV7D9R\Pederson - Microstructure and phase transformation of Ti-6Al-.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2SR8ZC7S","journalArticle","2019","Kumar, Dharmesh; Idapalapati, Sridhar; Wang, Wei; Child, Daniel J.; Haubold, Thomas; Wong, Chow Cher","Microstructure-mechanical property correlation in shot peened and vibro-peened Ni-based superalloy","Journal of Materials Processing Technology","","09240136","10.1016/j.jmatprotec.2018.12.007","https://linkinghub.elsevier.com/retrieve/pii/S0924013618305417","In this experimental research, shot peening (SP) and vibro-peening (VP) processes were employed to modify the surface and sub-surface of a Ni-based superalloy Udimet®720Li. The eﬀect of these treatments on the surface topography, microstructure evolution, and mechanical properties was investigated using instrumented tests. The compressive residual stresses and plastic strain generated through surface treatment were characterized using Xray diﬀraction (XRD). The depth of plastically strained region was estimated using a quantitative analysis of grain orientation spread (GOS) data from electron back-scattered diﬀraction (EBSD) technique. It was observed that the magnitude of compressive residual stresses induced by VP is relatively low compared to SP, but the converse is true for depth of inﬂuence (DOI) for the same peening intensity. After thermal exposure at 650 °C (∼0.4Tm) for 5 h, the relaxation of compressive residual stresses and plastic strain was less pronounced in vibropeening when compared to shot peening representing an improved thermal stability of the former process. Furthermore, 5.24 GPa surface micro-hardness of the untreated sample (O) was increased by ∼30% and ∼25.2% following SP and VP respectively. This resultant micro-hardness enhancement is due to grain reﬁnement, plastic strain eﬀects, and the introduction of low angle grain boundaries (LAGBs). Finally, a positive correlation among microstructural features and mechanical properties was ﬁtted from the experimental data.","2019-05","2019-04-26 15:28:57","2019-04-26 15:28:57","2019-04-26 15:28:57","215-229","","","267","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\mapaqr\Zotero\storage\5NWZVAV5\Kumar et al. - 2019 - Microstructure-mechanical property correlation in .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IKRQXQ48","journalArticle","2016","Xie, Lechun; Wang, Chengxi; Wang, Liqiang; Wang, Zhou; Jiang, Chuanhai; Lu, Weijie; Ji, Vincent","Numerical analysis and experimental validation on residual stress distribution of titanium matrix composite after shot peening treatment","Mechanics of Materials","","01676636","10.1016/j.mechmat.2016.05.005","https://linkinghub.elsevier.com/retrieve/pii/S0167663616300412","The residual stress distribution introduced by shot peening (SP) in the deformed surface layer of titanium matrix composite (TiB+TiC)/Ti-6Al-4 V was investigated via three-dimensional (3D) ﬁnite element dynamic simulation and experimental validation. The program of ANSYS/LS-DYNA was utilized in the 3D ﬁnite element dynamic analysis of SP process, and the 3D homogeneous and inhomogeneous models were set up. The results showed that the compressive residual stresses (CRS) were introduced in the matrix, but the tensile residual stresses appeared in the reinforcements. The maximum CRS and tensile residual stress were -1511 and +1155 MPa respectively, which revealed the higher yield strength of reinforcements. This type of stress distribution revealed the effect of reinforcements, keeping the adverse tensile stresses in the reinforcements and retarding the damage to the matrix during deformation. In terms of experiments, after SP, the residual stresses along the depth from the surface were measured using X-ray diffraction (XRD) method. The experimental results indicated that the CRS formed in the surface layer and the maximum appeared on the subsurface. The range of residual stresses found in experiments supported the simulated results, which veriﬁed the validity of 3D ﬁnite element dynamic analysis.","2016-08","2019-04-26 15:28:59","2019-04-26 15:28:59","2019-04-26 15:28:59","2-8","","","99","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\mapaqr\Zotero\storage\RBVGLVBZ\Xie et al. - 2016 - Numerical analysis and experimental validation on .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IQXPJI3U","journalArticle","2009","Schijve, J.","Fatigue crack growth, physical understanding and practical application","Fatigue & Fracture of Engineering Materials & Structures","","8756758X, 14602695","10.1111/j.1460-2695.2009.01405.x","http://doi.wiley.com/10.1111/j.1460-2695.2009.01405.x","","2009-11","2019-04-26 15:29:02","2019-04-26 15:29:02","2019-04-26 15:29:02","867-871","","11","32","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\mapaqr\Zotero\storage\RTEIW5IC\Measurement of residual stresses in titanium alloys using synchrotron radiation.pdf; C:\Users\mapaqr\Zotero\storage\TRJ2R7J9\Schijve - 2009 - Fatigue crack growth, physical understanding and p.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
