"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ABCD2345","webpage","","Center for History and New Media","Zotero Quick Start Guide","","","","","http://zotero.org/support/quick_start_guide","","","2017-04-03 19:06:11","2017-04-03 19:06:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3CQE2P6N","journalArticle","2009","H.C., Lee; J.S. Choi; K.H. Jung; Y.T. Im","Application of element deletion method for numerical analyses of cracking","Journal of Achievements in Materials and Manufacturing Engineering","","","","http://ww.journalamme.org/papers_vol35_2/3526.pdf","","2009-08","2015-06-15 19:08:48","2015-06-15 19:12:28","","154-161","","2","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48WXSK35","journalArticle","2014","Berghoff, M.; Nestler, B.","Scale-bridging phase-field simulations of microstructure responses on nucleation in metals and colloids","The European Physical Journal Special Topics","","1951-6355, 1951-6401","10.1140/epjst/e2014-02099-8","http://link.springer.com/article/10.1140/epjst/e2014-02099-8","In the present studies we investigate the connection between atomistic simulation methods, i.e. molecular dynamics (MD) and phase-field crystal (PFC), to the mesoscopic phase-field methods (PFM). While the first describes the evolution of a system on the basis of motion equations of particles the second uses a Cahn–Hilliard type equation to described an atomic density field and the third grounds on the evolution of continuous local order parameter field. The first aim is to point out the ability of the mesoscopic phase-field method to make predictions of growth velocity at the nanoscopic length scale. Therefore the isothermal growth of a spherical crystalline cluster embedded in a melt is considered. We also show simulation techniques that enable to computationally bridge from the atomistic up to the mesoscopic scale. We use a PFM to simulate symmetric thermal dendrites started at an early stage of solidification related to nucleation. These techniques allow to simulate three dimensional dendrites from the state of nuclei (≈50 Å) converted from MD up to a size of some μm where ternary side-arms start to grow.","2014-02-28","2015-06-15 17:36:55","2015-06-15 17:36:55","2015-06-15 17:36:55","409-419","","3","223","","Eur. Phys. J. Spec. Top.","","","","","","","","en","","","","","link.springer.com","","","","C:\Users\ilyass\Zotero\storage\WDMNG79T\Berghoff and Nestler - 2014 - Scale-bridging phase-field simulations of microstr.html","","","Atomic, Molecular, Optical and Plasma Physics; Classical Continuum Physics; Condensed Matter Physics; Materials Science, general; Measurement Science and Instrumentation; Physics, general","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7822I8PR","bookSection","1996","Lemaitre, Professor Jean","Phenomenological Aspects of Damage","A Course on Damage Mechanics","978-3-540-60980-3 978-3-642-18255-6","","","http://link.springer.com/chapter/10.1007/978-3-642-18255-6_1","The damage of materials is the progressive physical process by which they break. The mechanics of damage is the study, through mechanical variables, of the mechanisms involved in this deterioration when the materials are subjected to loading. At the microscale level this is the accumulation of microstresses in the neighborhood of defects or interfaces and the breaking of bonds, which both damage the material. At the mesoscale level of the representative volume element this is the growth and the coalescence of microcracks or microvoids which together initiate one crack. At the macroscale level this is the growth of that crack. The two first stages may be studied by means of damage variables of the mechanics of continuous media defined at the mesoscale level. The third stage is usually studied using fracture mechanics with variables defined at the macroscale level.","1996","2015-06-15 20:37:09","2015-06-15 20:37:09","2015-06-15 20:37:09","1-37","","","","","","","","","","","Springer Berlin Heidelberg","","en","©1996 Springer-Verlag Berlin Heidelberg","","","","link.springer.com","","","","C:\Users\ilyass\Zotero\storage\QH9M8HIH\978-3-642-18255-6_1.html","","","Characterization and Evaluation of Materials; Theoretical and Applied Mechanics; Acoustics; Condensed Matter Physics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8Z9GRGQB","journalArticle","2000","Shao, J.F.; Rudnicki, J.W.","A microcrack-based continuous damage model for brittle geomaterials","Mechanics of Materials","","01676636","10.1016/S0167-6636(00)00024-7","http://linkinghub.elsevier.com/retrieve/pii/S0167663600000247","","2000-10","2015-06-15 20:29:32","2015-06-15 20:29:32","2015-06-15 20:29:32","607-619","","10","32","","","","","","","","","","en","","","","","CrossRef","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZWKVNKP7","journalArticle","1988","Nemat-Nasser, S.; Obata, M.","A Microcrack Model of Dilatancy in Brittle Materials","Journal of Applied Mechanics","","0021-8936","10.1115/1.3173647","http://dx.doi.org/10.1115/1.3173647","For a solid containing preexisting flaws, overall nonlinear constitutive relations are developed on the basis of a model which endows a preexisting flaw with frictional and cohesive resistance, and which includes nucleation and growth of tension cracks at the preexisting flaw, as it deforms under the action of an overall compressive load. The preexisting flaws may be randomly distributed or may have an initial preferential distribution. They may be of varying sizes and orientations. Even when the flaws are randomly distributed, their preferential activation, and the nucleation and growth of tension cracks at preferential flaws, render the overall response of the solid highly anisotropic. As a first step toward a more complete constitutive micromechanical modeling, a dilute distribution of preexisting flaws is assumed, rate constitutive relations are developed for loading and unloading, which include hysteresis, dilatancy, and other characteristics observed experimentally in rocks, ceramics, concrete, and similar brittle materials. A number of illustrative examples are worked out, and the results are compared to relevant experimental observations.","1988-03-01","2015-06-15 20:33:31","2015-06-15 20:33:31","2015-06-15 20:33:31","24-35","","1","55","","J. Appl. Mech","","","","","","","","","","","","","Silverchair","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2CV2IA95","journalArticle","2004","Bucaille, J. L; Rossoll, A; Moser, B; Stauss, S; Michler, J","Determination of the matrix in situ flow stress of a continuous fibre reinforced metal matrix composite using instrumented indentation","Materials Science and Engineering: A","","0921-5093","10.1016/j.msea.2003.10.288","http://www.sciencedirect.com/science/article/pii/S0921509303013236","Nanoindentation is employed to determine the flow stress of a pure aluminium matrix of a composite reinforced with continuous alumina fibres. The stress for a given representative strain, which depends on the geometry of the indenter, can be deduced using the reverse method established by Bucaille et al. [Acta Mater. 51 (2003) 1663] assuming that the normal force is proportional to the square of the penetration depth: F=Ch2. During the first stage of this work, nanoindentation experiments were conducted on annealed and cold-worked aluminium using the Berkovich and cube corner pyramids. The apparent hardness of these materials was found to decrease with increasing penetration depth. The evolution of the normal force as a function of penetration depth was therefore modelled by a polynomial equation allowing extrapolation of the mechanical behaviour to the macroscopic scale. Good agreement was found between the flow stress of cold-worked aluminium obtained in this manner and the values obtained from tensile testing. However, for the annealed aluminium, the present method largely overestimates the values. It is suggested that both geometrically necessary dislocations and the microstructure are the main factors responsible for the indentation size effect (ISE). Several scales must therefore be considered in order to extrapolate the behaviour of aluminium from the nano- to the macroscale. In the second stage of this work, nanoindentation tests were carried out in the aluminium matrix of the composite at small penetration depths to avoid any influence of the fibres. By comparison with previous results on bulk aluminium, the flow stress of the matrix was determined and its plastic behaviour was found to be close to that of cold-worked aluminium, in agreement with other studies. This implies that the aluminium matrix is strongly modified by the presence of fibres during the fabrication of the composite.","2004-03-25","2014-04-03 18:04:10","2014-04-03 18:04:10","2014-04-03 18:04:10","82-92","","1–2","369","","Materials Science and Engineering: A","","","","","","","","","","","","","ScienceDirect","","","","; C:\Users\ilyass\Zotero\storage\D7NUCE8M\Bucaille et al. - 2004 - Determination of the matrix in situ flow stress of.pdf; C:\Users\ilyass\Zotero\storage\DFPTNDC7\S0921509303013236.html","https://drive.google.com/file/d/0B1jXoaQhrGctSEZKdEUwY3BrWFk/edit?usp=sharing","","Aluminium; Indentation size effect; Metal matrix composite; Nanoindentation; Strain hardening","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GZNJD45N","journalArticle","2015","Turner","Peridynamics-Based Digital Image Correlation Algorithm Suitable for Cracks and Other Discontinuities","Journal of Engineering Mechanics","","0733-9399","10.1061/(ASCE)EM.1943-7889.0000831","http://dx.doi.org/10.1061/(ASCE)EM.1943-7889.0000831","AbstractThis work presents a novel approach to circumventing the difficulties associated with using digital image correlation (DIC) for problems that involve discontinuities like fracture and fragmentation. The proposed method provides a simple means to combine traditional DIC approaches with peridynamics to achieve full-field displacements, even in the vicinity of cracks. In regions where DIC is accurate and effective, the displacement field is determined using a traditional approach. In discontinuous regions, the displacement field is solved for using peridynamics. This study shows that this method can be used successfully for investigating damage in materials such as nuclear graphite and fiber-RC (FRC). It also shows that the proposed method alleviates nonphysical strains in the vicinity of cracks, common to alternative approaches, which detrimentally degrade the quality of postprocessed quantities of interest such as fracture toughness.","2015","2015-07-25 19:48:18","2015-07-25 19:48:18","2015-04-16 16:05:52","04014115","","2","141","","","","","","","","","","","","","","","ASCE","","","","C:\Users\ilyass\Zotero\storage\NQBFE3TR\2015 - Peridynamics-Based Digital Image Correlation Algor.pdf; C:\Users\ilyass\Zotero\storage\V9MUWZ2Z\(ASCE)EM.1943-7889.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2XKCNCDN","journalArticle","2014","Ghajari, M.; Iannucci, L.; Curtis, P.","A peridynamic material model for the analysis of dynamic crack propagation in orthotropic media","Computer Methods in Applied Mechanics and Engineering","","0045-7825","10.1016/j.cma.2014.04.002","http://www.sciencedirect.com/science/article/pii/S004578251400111X","A new material model for the dynamic fracture analysis of anisotropic materials has been proposed within the framework of the bond-based peridynamic theory. This model enables predicting complex fracture phenomena such as spontaneous crack nucleation and crack branching, curving and arrest, a capability inherited from the bond-based peridynamic theory. An important feature of the model is that the bond properties, i.e. the stiffness constant and critical stretch, are continuous functions of bond orientation in the principal material axes. This facilitates fracture analysis of anisotropic materials with random orientations, such as polycrystalline microstructures. Elastic and fracture behaviour of the model has been verified through simulating uniaxial tension of a composite plate and fracture of a cortical bone compact tension specimen, and making quantitative comparisons to analytical and experimental data. To further demonstrate the capabilities of the proposed model, dynamic fracture of a polycrystalline microstructure (alumina ceramic) has been simulated. The influence of the grain boundary and grain interior fracture energies on the interacting and competing fracture modes of polycrystalline materials, i.e. intergranular and transgranular fracture, has been studied.","2014-07-01","2015-01-27 17:27:58","2015-01-27 17:27:58","2015-01-27 17:27:58","431-452","","","276","","Computer Methods in Applied Mechanics and Engineering","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\ilyass\Zotero\storage\JP36FADF\Ghajari et al. - 2014 - A peridynamic material model for the analysis of d.pdf; C:\Users\ilyass\Zotero\storage\JCN3XE94\Ghajari et al. - 2014 - A peridynamic material model for the analysis of d.html; ","https://drive.google.com/file/d/0B1jXoaQhrGctNS1vU2ZLd2plQTA/view?usp=sharing","","Anisotropy; Bone; Ceramic; Fracture; Peridynamics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"355KCK35","presentation","","","Deformation of natural fibers","","","","","https://drive.google.com/file/d/0B1jXoaQhrGctbVNmN1lKWFhKVzA/edit?usp=sharing","","","2014-02-25 21:48:16","2014-02-25 21:48:35","","","","","","","","","","","","","","","","","","","","","","","","","https://drive.google.com/file/d/0B1jXoaQhrGctbVNmN1lKWFhKVzA/edit?usp=sharing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
