"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SC3PWIJ4","journalArticle","","","","Vienna University of Technology, TU Vienna (2012, March 12). 3-D Printer with Nano-Precision. ScienceDaily. Retrieved November 26, 2013, from http://www.sciencedaily.com /releases/2012/03/120312101918.htm","","","","","","","2019-06-11 15:43:03","2019-06-11 15:43:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MFBS4VPX","journalArticle","","","","http://www.engineeringarchives.com/","","","","","","","2019-06-11 15:43:03","2019-06-11 15:43:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BCRJWWSQ","journalArticle","2011","Adams, Jacob J.; Duoss, Eric B.; Malkowski, Thomas F.; Motala, Michael J.; Ahn, Bok Yeop; Nuzzo, Ralph G.; Bernhard, Jennifer T.; Lewis, Jennifer A.","Conformal Printing of Electrically Small Antennas on Three-Dimensional Surfaces","Advanced Materials","","1521-4095","10.1002/adma.201003734","http://dx.doi.org/10.1002/adma.201003734","","2011","2019-06-11 15:43:03","2019-06-11 15:43:03","","1335-1340","","11","23","","","","","","","","","","","","","","","","","","","","","antenna nanoparticle ink printed electronics conformal printing 3D printing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"485LEEMS","journalArticle","1995","Agarwala, Mukesh; Bourell, David; Beaman, Joseph; Marcus, Harris; Barlow, Joel","Direct selective laser sintering of metals","Rapid Prototyping Journal","","1355-2546","","","","1995","2019-06-11 15:43:03","2019-06-11 15:43:03","","26-36","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEBBCCSB","journalArticle","2006","Aghababazadeh, R; Mirhabibi, AR; Ghanbari, H; Chizari, K; Brydson, RM; Brown, AP","Synthesis of carbon nanotubes on alumina-based supports with different gas flow rates by CCVD method","Journal of Physics: Conference Series","","1742-6596","","","","2006","2019-06-11 15:43:03","2019-06-11 15:43:03","","135","","1","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RZRZD773","journalArticle","2009","Ahn, Bok Y.; Duoss, Eric B.; Motala, Michael J.; Guo, Xiaoying; Park, Sang-Il; Xiong, Yujie; Yoon, Jongseung; Nuzzo, Ralph G.; Rogers, John A.; Lewis, Jennifer A.","Omnidirectional Printing of Flexible, Stretchable, and Spanning Silver Microelectrodes","Science","","","10.1126/science.1168375","http://www.sciencemag.org/content/323/5921/1590.abstract","Flexible, stretchable, and spanning microelectrodes that carry signals from one circuit element to another are needed for many emerging forms of electronic and optoelectronic devices. We have patterned silver microelectrodes by omnidirectional printing of concentrated nanoparticle inks in both uniform and high–aspect ratio motifs with minimum widths of approximately 2 micrometers onto semiconductor, plastic, and glass substrates. The patterned microelectrodes can withstand repeated bending and stretching to large levels of strain with minimal degradation of their electrical properties. With this approach, wire bonding to fragile three-dimensional devices and spanning interconnects for solar cell and light-emitting diode arrays are demonstrated.","2009","2019-06-11 15:43:04","2019-06-11 15:43:04","","1590-1593","","5921","323","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I2EINVF2","journalArticle","2012","Aïssa, B; Therriault, D; Farahani, RD; Lebel, LL; El Khakani, MA","Electrical transport properties of single wall carbon nanotube/polyurethane composite based field effect transistors fabricated by UV-assisted direct-writing technology","Nanotechnology","","0957-4484","","","","2012","2019-06-11 15:43:04","2019-06-11 15:43:04","","115705","","11","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7334A8RA","book","2001","Ajayan, PulickelM; Zhou, OttoZ","Applications of Carbon Nanotubes","","978-3-540-41086-7","","","http://dx.doi.org/10.1007/3-540-39947-X_14","","2001","2019-06-11 15:43:04","2019-06-11 15:43:04","","","391-425","","80","","","","Carbon Nanotubes","","","","Springer Berlin Heidelberg","","","","","","","","","DOI: 10.1007/3-540-39947-x_14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSHDJV83","journalArticle","2012","Alemu, Desalegn; Wei, Hung-Yu; Ho, Kuo-Chuan; Chu, Chih-Wei","Highly conductive PEDOT: PSS electrode by simple film treatment with methanol for ITO-free polymer solar cells","Energy & Environmental Science","","","","","","2012","2019-06-11 15:43:04","2019-06-11 15:43:04","","9662-9671","","11","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AX7ZFX8U","journalArticle","2001","Allahverdi, M.; Danforth, S. C.; Jafari, M.; Safari, A.","Processing of advanced electroceramic components by fused deposition technique","Journal of the European Ceramic Society","","0955-2219","http://dx.doi.org/10.1016/S0955-2219(01)00047-4","http://www.sciencedirect.com/science/article/pii/S0955221901000474","","2001","2019-06-11 15:43:04","2019-06-11 15:43:04","","1485-1490","","10–11","21","","","","","","","","","","","","","","","","","","","","","Actuators Piezoelectric properties Rapid prototyping Sensors Shaping","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
