"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZF3WN6E3","journalArticle","2015","Malek, Sardar; Gibson, Lorna","Effective elastic properties of periodic hexagonal honeycombs","Mechanics of Materials","","01676636","10.1016/j.mechmat.2015.07.008","https://linkinghub.elsevier.com/retrieve/pii/S0167663615001568","We investigate the elastic behavior of periodic hexagonal honeycombs over a wide range of relative densities and cell geometries, using both analytical and numerical approaches. Previous modeling approaches are reviewed and their limitations identiﬁed. More accurate estimates of all nine elastic constants are obtained by modifying the analysis of Gibson and Ashby (1997) to account for the nodes at the intersection of the vertical and inclined members. The effect of the nodes becomes signiﬁcant at high relative densities. We then compare the new analytical equations with previous analytical models, with a numerical analysis based on a computational homogenization technique and with data for rubber honeycombs over a wide range of relative densities and cell geometries. The comparisons show that both the new analytical equations and numerical solutions give a remarkably good description of the data. The results provide new insights into understanding the mechanics of honeycombs and designing new cellular materials in the future.","2015-12","2019-05-21 22:32:27","2019-05-21 22:32:27","2019-05-21 22:32:27","226-240","","","91","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\momoe\Zotero\storage\KVTLKPK2\Malek et Gibson - 2015 - Effective elastic properties of periodic hexagonal.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EY8K32LG","journalArticle","2018","Sorohan, Stefan; Constantinescu, Dan Mihai; Sandu, Marin; Sandu, Adriana Georgeta","On the homogenization of hexagonal honeycombs under axial and shear loading. Part II: Comparison of free skin and rigid skin effects on effective core properties","Mechanics of Materials","","01676636","10.1016/j.mechmat.2017.09.004","https://linkinghub.elsevier.com/retrieve/pii/S0167663616305014","The second part of the paper is dedicated to the presentation of some analytical formulae used to consider the rigid skin effect. Special attention is given to the lower and upper bounds of out-of-plane shear moduli for a generalized Malek and Gibson beam model and to a correction of Gibson and Ashby model. The imposed boundary conditions on a honeycomb cell presented in the ﬁrst part of this research are analyzed separately for the understanding of free and rigid skin effects. Then the ﬁnite element method is used to determine the effective elastic properties of the honeycomb cell and a comparison with existing and proposed analytical models is done. The numerical study considers both the free and rigid skin effects for two different ﬁnite elements types, Brick and Shell. The inﬂuence of including/neglecting the skin effect upon the effective elastic properties is presented and discussed. The ﬁnite element modeling (FEM) is performed by using APDL in ANSYS and a good agreement has been achieved between the results of the present analytical models and 3D FEM. Studies of convergence analyses by using Brick and Shell elements are performed for three sets of relative densities as a function of the mesh reﬁnement for the conventional, over-expanded, and re-entrant honeycombs. Some particularities in modeling with Shell elements are discussed by considering the number of layers and the section offset. A sensitivity analysis in terms of the geometric parameters of the unit cell has been conducted for analyzing the core thickness effect. The results provide new insights into understanding the limitations of present analytical models and opens perspectives for the detailed design of commercial honeycombs.","2018-04","2019-05-21 22:32:52","2019-05-21 22:32:52","2019-05-21 22:32:52","92-108","","","119","","","On the homogenization of hexagonal honeycombs under axial and shear loading. Part II","","","","","","","en","","","","","Crossref","","","","C:\Users\momoe\Zotero\storage\VTVH8E86\Sorohan et al. - 2018 - On the homogenization of hexagonal honeycombs unde.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V3QYAL59","journalArticle","2019","Sorohan, Stefan; Constantinescu, Dan Mihai; Sandu, Marin; Sandu, Adriana Georgeta","In-plane homogenization of commercial hexagonal honeycombs considering the cell wall curvature and adhesive layer influence","International Journal of Solids and Structures","","00207683","10.1016/j.ijsolstr.2018.08.007","https://linkinghub.elsevier.com/retrieve/pii/S0020768318303263","In the present paper a general parameterization of a periodic hexagonal honeycomb with double vertical walls (commercial honeycomb) is proposed and a new analytic model is established. More attention is paid to account for the radius of curvature of the inclined walls, the adhesive layer thickness, and adhesive ﬁllet at nodes. Then, neglecting the skin effect, in plane elastic constants is obtained analytically using the beam theory. The deformation mechanisms of the honeycomb cells include ﬂexure, stretching, shearing and hinging. The mechanism of hinging is included through small ﬁctitious beams in order to balance the local effects which cannot be captured using the beam theory. Hinging can be neglected when the thickness of these beams becomes inﬁnite or optimally chosen by a proper thickness as to minimize the cumulative errors of the analytical assumptions. The new analytic model presented in this paper can be particularized to the extended Balawi and Abot model if some parameters are adequately modiﬁed. The ﬁnite element modeling of a representative volume element is used for model calibration and validation considering different relative densities of real honeycombs. The numerical results obtained as a reference for the effective elastic constants are discussed by comparing them to the ones given by the analytic model; its advantages and pitfalls are discussed and explained through a case study and some sensitivity analyses. Numerical simulations are also done in order to establish the distribution of the stresses in cell walls and nodes to conﬁrm the hypotheses used for determining the analytical relations and to explain some limits of the analytic model. The results provide new insights into understanding the mechanics of honeycombs and facilitate the design of new types of cellular materials, including composite hexagonal cell cores.","2019-01","2019-05-21 22:32:53","2019-05-21 22:32:53","2019-05-21 22:32:53","87-106","","","156-157","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\momoe\Zotero\storage\ZMXRRKYN\Sorohan et al. - 2019 - In-plane homogenization of commercial hexagonal ho.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS2JMMSG","journalArticle","2018","Sorohan, Stefan; Constantinescu, Dan Mihai; Sandu, Marin; Sandu, Adriana Georgeta","On the homogenization of hexagonal honeycombs under axial and shear loading. Part I: Analytical formulation for free skin effect","Mechanics of Materials","","01676636","10.1016/j.mechmat.2017.09.003","https://linkinghub.elsevier.com/retrieve/pii/S0167663616305002","In the present paper the skin effect is neglected, and a general parameterization of a hexagonal honeycomb, valid for constant wall thickness, double vertical walls (commercial), or for any combination of cell walls is generated. Thus, two new analytical models are proposed: generalized Malek and Gibson and correction of Gibson and Ashby. Description of the existing (Malek and Gibson, 2015 and classical relations established by Gibson and Ashby, 1997) and proposed models is done in detail. All nine effective elastic properties are obtained analytically using the beam and membrane plate theory in which more attention is paid to account for the nodes at the intersection of the vertical and inclined cell walls. The numerical modeling of honeycomb structures is too tedious and time consuming. The homogenization of honeycombs enables to obtain an equivalent orthotropic homogeneous solid and its elastic effective properties making thus possible very eﬃcient ﬁnite element analyses. Such simulations are also used to establish the distribution of the stresses in nodes in order to validate the hypotheses used for determining the analytical relations. The existing and proposed analytical models are compared to the FEA solutions through two examples: one for a regular, and the other for a re-entrant honeycomb. The numerical results obtained as a reference for the effective elastic constants are discussed by comparing them to the ones given by the analytical models, and the advantages and pitfalls of each model are discussed and explained. The results provide new insights into understanding the mechanics of honeycombs and designing new types of cellular materials including composite hexagonal cell cores.","2018-04","2019-05-21 22:32:55","2019-05-21 22:32:55","2019-05-21 22:32:55","74-91","","","119","","","On the homogenization of hexagonal honeycombs under axial and shear loading. Part I","","","","","","","en","","","","","Crossref","","","","C:\Users\momoe\Zotero\storage\MRWZZH7D\Sorohan et al. - 2018 - On the homogenization of hexagonal honeycombs unde.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K2XR5TPM","journalArticle","1993","Eng, Janice J; Pierrynowski, Michael R","Evaluation of Soft Foot Orthotics in the Treatment of Patellofemoral Pain Syndrome","Physical Therapy","","0031-9023, 1538-6724","10.1093/ptj/73.2.62","https://academic.oup.com/ptj/article/2729028/Evaluation","","1993-02-01","2019-05-21 23:57:36","2019-05-21 23:57:36","2019-05-21 23:57:36","62-68","","2","73","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\momoe\Zotero\storage\MMG4X9JR\Eng et Pierrynowski - 1993 - Evaluation of Soft Foot Orthotics in the Treatment.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47UGVLQV","journalArticle","2018","Desmyttere, Gauthier; Mathieu, Emilie; Begon, Mickael; Simoneau-Buessinger, Emilie; Cremoux, Sylvain","Effect of the phase of force production on corticomuscular coherence with agonist and antagonist muscles","European Journal of Neuroscience","","0953816X","10.1111/ejn.14126","http://doi.wiley.com/10.1111/ejn.14126","During isometric contractions, the net joint torque stability is modulated with the force production phases, i.e., increasing (IFP), holding (HFP), and decreasing force (DFP) phases. It was hypothesized that this modulation results from an altered cortical control of agonist and antagonist muscle activations. Eleven healthy participants performed 50 submaximal isometric ankle plantar flexion contractions. The force production phase effect (IFP, HFP and DFP) was assessed on the net joint torque stability, agonist and antagonist muscles activations, cortical activation, and corticomuscular coherence (CMC) with agonist and antagonist muscles. In comparison to HFP, the net joint torque stability, the agonist muscles activation and the CMC with agonist muscles were lower during IFP and even more during DFP. Antagonist muscle activations, cortical activations and CMC with antagonist muscles were higher during HFP than during IFP only. Increased CMC with agonist and antagonist muscles appeared to enhance the fine motor control. At a cortical level, agonist and antagonist muscle activations seemed to be controlled independently according to their muscle function and the phase of force production. Results revealed that CMC was an adequate measure to investigate the cortical regulation of agonist and antagonist muscle activations. This may have potential applications for patients with altered muscle activations.","2018-11","2019-05-21 23:57:37","2019-05-21 23:57:37","2019-05-21 23:57:37","3288-3298","","10","48","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\momoe\Zotero\storage\DR9GDMII\Desmyttere et al. - 2018 - Effect of the phase of force production on cortico.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YASVMDLX","journalArticle","2019","Desmyttere, Gauthier; Gaudet, Sylvain; Begon, Mickael","Test-retest reliability of a hip strength assessment system in varsity soccer players","Physical Therapy in Sport","","1466853X","10.1016/j.ptsp.2019.03.013","https://linkinghub.elsevier.com/retrieve/pii/S1466853X19300197","Objective: To investigate test-retest reliability of a hip strength assessment system (GroinBar). Design: Test-retest reliability study. Setting: Laboratory. Participants: Twenty asymptomatic varsity soccer players. Main outcome measures: Maximal isometric hip strength (adduction, abduction, internal and external rotation, ﬂexion and extension) was assessed using the GroinBar. Intraclass correlation coefﬁcient (ICC) and relative standard error of measurement (SEM) were calculated to evaluate reliability of peak (ICC3,1) (highest peak within 3 trials) and average peak (ICC3,3) (average of 3 trials) force and rate of force development (RFD). Hotelling's T2, were also used to compare bilateral and reciprocal ratios between dominant and non-dominant leg. Results: ICC for both peak force and RFD values revealed moderate to good reliability (0.53e0.88 and 0.61 e0.84, respectively), whereas reliability was good to excellent regarding their average values (0.77e0.95 and 0.81e0.92, respectively). SEM of average peak force and RFD values (4.1e9.4% and 8.2e13.9%, respectively) were lower than that of peak force and RFD values (5.7e13.0% and 10.7e19.1%, respectively). No signiﬁcant difference was found in bilateral and reciprocal force ratios between dominant and non-dominant leg. Conclusions: The GroinBar is a reliable tool to assess hip muscle function in athletic populations and could be used for player screening and follow-up.","2019-05","2019-05-21 23:57:39","2019-05-21 23:57:39","2019-05-21 23:57:39","138-143","","","37","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\momoe\Zotero\storage\ZGA37VW7\Desmyttere et al. - 2019 - Test-retest reliability of a hip strength assessme.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J6TRVV5M","journalArticle","2018","Desmyttere, Gauthier; Hajizadeh, Maryam; Bleau, Jacinte; Begon, Mickael","Effect of foot orthosis design on lower limb joint kinematics and kinetics during walking in flexible pes planovalgus: A systematic review and meta-analysis","Clinical Biomechanics","","02680033","10.1016/j.clinbiomech.2018.09.018","https://linkinghub.elsevier.com/retrieve/pii/S0268003318301062","Background: Foot orthoses are commonly used for the management of excessive foot pronation in people with pes planovalgus. However, results are inconsistent due to variability in orthosis geometrical designs. This systematic review with meta-analysis aimed to classify and investigate the eﬀects of foot orthoses, based on their design, in terms of lower limb kinematics and kinetics in people with pes planovalgus.","2018-11","2019-05-21 23:57:40","2019-05-21 23:57:40","2019-05-21 23:57:40","117-129","","","59","","","Effect of foot orthosis design on lower limb joint kinematics and kinetics during walking in flexible pes planovalgus","","","","","","","en","","","","","Crossref","","","","C:\Users\momoe\Zotero\storage\QIGESSFI\Desmyttere et al. - 2018 - Effect of foot orthosis design on lower limb joint.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JGXTEN2H","journalArticle","2008","Hill, Catherine L; Gill, Tiffany K; Menz, Hylton B; Taylor, Anne W","Prevalence and correlates of foot pain in a population-based study: the North West Adelaide health study","Journal of Foot and Ankle Research","","1757-1146","10.1186/1757-1146-1-2","https://jfootankleres.biomedcentral.com/articles/10.1186/1757-1146-1-2","Background: Few population-based studies have examined the prevalence of foot pain in the general community. The aims of this study were therefore to determine the prevalence, correlates and impact of foot pain in a population-based sample of people aged 18 years and over living in the northwest region of Adelaide, South Australia. Methods: The North West Adelaide Health Study is a representative longitudinal cohort study of n = 4,060 people randomly selected and recruited by telephone interview. The second stage of data collection on this cohort was undertaken between mid 2004 and early 2006. In this phase, information regarding the prevalence of musculoskeletal conditions was included. Overall, n = 3,206 participants returned to the clinic during the second visit, and as part of the assessment were asked to report whether they had pain, aching or stiffness on most days in either of their feet. Data were also collected on body mass index (BMI); major medical conditions; other joint symptoms and health-related quality of life (the Medical Outcomes Study Short Form 36 [SF-36]). Results: Overall, 17.4% (95% confidence interval 16.2 – 18.8) of participants indicated that they had foot pain, aching or stiffness in either of their feet. Females, those aged 50 years and over, classified as obese and who reported knee, hip and back pain were all significantly more likely to report foot pain. Respondents with foot pain scored lower on all domains of the SF-36 after adjustment for age, sex and BMI. Conclusion: Foot pain affects nearly one in five of people in the community, is associated with increased age, female sex, obesity and pain in other body regions, and has a significant detrimental impact on health-related quality of life.","2008-12","2019-05-21 23:57:42","2019-05-21 23:57:42","2019-05-21 23:57:42","","","1","1","","","Prevalence and correlates of foot pain in a population-based study","","","","","","","en","","","","","Crossref","","","","C:\Users\momoe\Zotero\storage\M6YRUXJZ\Hill et al. - 2008 - Prevalence and correlates of foot pain in a popula.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HI5HNC3Y","journalArticle","2016","Lever, Caroline J.; Hennessy, Michael S.","Adult flat foot deformity","Orthopaedics and Trauma","","18771327","10.1016/j.mporth.2016.02.005","https://linkinghub.elsevier.com/retrieve/pii/S1877132716000063","This review considers the anatomy and biomechanics of adult ﬂat foot deformity. This underpinning basic science is then used to consider the various diagnoses for the condition and the treatments that can be effective.","2016-02","2019-05-21 23:57:43","2019-05-21 23:57:43","2019-05-21 23:57:43","41-50","","1","30","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\momoe\Zotero\storage\8BL24QBG\Lever et Hennessy - 2016 - Adult flat foot deformity.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
